Linux 2.6.18-426.el5 (rhel5.example.com) 	10/01/18

00:00:01       proc/s
00:10:01         0.97
00:20:01         1.05
00:30:01         0.95
00:40:01         0.95
00:50:02         0.95
01:00:01         1.94
01:10:01         0.97
01:20:01         1.05
01:30:01         0.95
01:40:01         0.95
01:50:01         0.95
02:00:01         1.94
02:10:01         0.97
02:20:01         1.05
02:30:01         0.95
02:40:01         0.95
02:50:01         0.95
03:00:01         1.94
03:10:01         0.97
03:20:01         1.05
03:30:01         0.95
03:40:01         0.95
03:50:01         0.95
04:00:01         1.94
04:10:01         2.03
04:20:01         1.05
04:30:01         0.95
04:40:01         0.95
04:50:01         0.96
05:00:01         1.94
05:10:01         0.97
05:20:01         1.05
05:30:01         0.95
05:40:01         0.95
05:50:01         0.95
06:00:01         1.94
06:10:01         0.97
06:20:01         1.05
06:30:01         0.95
06:40:01         0.95
06:50:01         0.95
07:00:01         1.94
07:10:01         0.97
07:20:01         1.05
07:30:01         0.95
07:40:01         0.95
07:50:01         0.95
08:00:01         1.94
08:10:01         0.97
08:20:01         1.05
08:30:01         0.95
08:40:01         0.95
08:50:01         0.95
09:00:01         1.94
09:10:01         0.97
09:20:01         1.05
09:30:01         0.95
09:40:01         0.95
09:50:01         0.95
10:00:01         1.94
10:10:01         1.09
10:20:01         1.05
10:30:01         0.95
10:40:01         0.95
10:50:01         0.95
11:00:01         1.94
11:10:01         0.97
11:20:01         1.05
11:30:01         0.95
11:40:01         0.95
11:50:01         0.95
12:00:01         1.94
12:10:01         0.97
12:20:01         1.05
12:30:01         0.95
12:40:01         0.95
12:50:01         0.95
13:00:01         1.94
13:10:01         0.97
13:20:01         1.05
13:30:01         1.94
13:40:01         0.95
13:50:01         0.95
14:00:01         1.94
14:10:01         0.97
14:20:01         1.05
14:30:01         0.95
14:40:01         0.95
14:50:01         0.95
15:00:01         1.94
15:10:01         0.97
15:20:01         1.05
15:30:01         0.95
15:40:01         0.95
15:50:01         0.95
16:00:01         1.94
16:10:01         0.97
16:20:01         1.05
16:30:01         0.95
16:40:01         0.95
16:50:01         0.95
17:00:01         1.94
17:10:01         0.97
17:20:01         1.05
17:30:01         0.95
17:40:01         0.95
17:50:01         0.96
18:00:01         1.95
18:10:01         0.98
18:20:01         1.06
18:30:01         0.96
18:40:01         0.96
18:50:01         0.96
19:00:01         1.94
19:10:01         0.97
19:20:01         1.05
19:30:01         0.95
19:40:01         0.95
19:50:01         0.95
20:00:01         1.94
20:10:01         0.97
20:20:01         1.05
20:30:01         0.95
20:40:01         0.95
20:50:01         0.95
21:00:01         1.94
21:10:01         0.97
21:20:01         1.05
21:30:01         0.95
21:40:01         0.95
21:50:01         0.95
22:00:01         1.94
22:10:01         0.97
22:20:01         1.05
22:30:01         0.95
22:40:01         0.95
22:50:01         0.95
23:00:01         1.94
23:10:01         0.97
23:20:01         1.05
23:30:01         0.95
23:40:01         0.95
23:50:01         0.95
Average:         1.15

00:00:01      cswch/s
00:10:01       750.98
00:20:01       731.66
00:30:01       640.69
00:40:01       768.41
00:50:02       947.15
01:00:01       756.49
01:10:01       750.49
01:20:01       664.71
01:30:01       801.49
01:40:01       935.11
01:50:01       744.37
02:00:01       601.29
02:10:01       572.07
02:20:01       889.80
02:30:01       632.88
02:40:01       693.44
02:50:01       686.82
03:00:01       640.46
03:10:01       583.55
03:20:01       573.56
03:30:01       702.92
03:40:01       676.43
03:50:01       884.51
04:00:01       630.04
04:10:01       798.62
04:20:01       776.05
04:30:01       633.54
04:40:01       645.07
04:50:01       790.41
05:00:01       786.21
05:10:01       767.06
05:20:01       778.90
05:30:01       601.92
05:40:01       706.59
05:50:01       821.70
06:00:01       705.57
06:10:01       765.91
06:20:01       757.65
06:30:01       672.78
06:40:01       701.53
06:50:01       947.93
07:00:01      1008.48
07:10:01       869.90
07:20:01       923.53
07:30:01       811.43
07:40:01      1018.01
