Linux 3.10.0-862.11.6.el7.x86_64 (rhel7-2.example.com) 	2018-09-30 	_x86_64_	(6 CPU)

12:00:01 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
12:10:01 AM     all      0.33      0.00      0.24      0.25      0.00      0.00      0.00      0.00      0.00     99.19
12:10:01 AM       0      0.35      0.00      0.41      0.13      0.00      0.00      0.00      0.00      0.00     99.11
12:10:01 AM       1      0.34      0.00      0.23      0.06      0.00      0.00      0.00      0.00      0.00     99.37
12:10:01 AM       2      0.25      0.00      0.19      0.09      0.00      0.00      0.00      0.00      0.00     99.47
12:10:01 AM       3      0.25      0.00      0.17      0.33      0.00      0.00      0.00      0.00      0.00     99.25
12:10:01 AM       4      0.40      0.00      0.20      0.06      0.00      0.00      0.01      0.00      0.00     99.33
12:10:01 AM       5      0.37      0.00      0.24      0.81      0.00      0.00      0.00      0.00      0.00     98.58
12:20:01 AM     all      0.24      0.00      0.18      0.16      0.00      0.00      0.00      0.00      0.00     99.42
12:20:01 AM       0      0.31      0.00      0.33      0.13      0.00      0.00      0.00      0.00      0.00     99.23
12:20:01 AM       1      0.27      0.00      0.20      0.04      0.00      0.00      0.00      0.00      0.00     99.49
12:20:01 AM       2      0.20      0.00      0.13      0.06      0.00      0.00      0.00      0.00      0.00     99.61
12:20:01 AM       3      0.21      0.00      0.16      0.22      0.00      0.00      0.00      0.00      0.00     99.41
12:20:01 AM       4      0.19      0.00      0.10      0.02      0.00      0.00      0.00      0.00      0.00     99.69
12:20:01 AM       5      0.25      0.00      0.17      0.53      0.00      0.00      0.00      0.00      0.00     99.06
12:30:01 AM     all      0.67      0.00      0.33      0.83      0.00      0.00      0.00      0.00      0.00     98.17
12:30:01 AM       0      0.45      0.00      0.44      0.20      0.00      0.00      0.00      0.00      0.00     98.90
12:30:01 AM       1      0.37      0.00      0.25      0.14      0.00      0.00      0.00      0.00      0.00     99.25
12:30:01 AM       2      0.64      0.00      0.26      0.05      0.00      0.00      0.00      0.00      0.00     99.06
12:30:01 AM       3      0.26      0.00      0.28      0.21      0.00      0.00      0.00      0.00      0.00     99.25
12:30:01 AM       4      0.60      0.00      0.35      0.06      0.00      0.00      0.00      0.00      0.00     98.99
12:30:01 AM       5      1.69      0.00      0.40      4.33      0.00      0.00      0.01      0.00      0.00     93.58
12:40:01 AM     all      0.24      0.00      0.18      0.16      0.00      0.00      0.00      0.00      0.00     99.41
12:40:01 AM       0      0.35      0.00      0.40      0.19      0.00      0.00      0.00      0.00      0.00     99.05
12:40:01 AM       1      0.23      0.00      0.14      0.04      0.00      0.00      0.00      0.00      0.00     99.60
12:40:01 AM       2      0.24      0.00      0.13      0.03      0.00      0.00      0.00      0.00      0.00     99.60
12:40:01 AM       3      0.20      0.00      0.15      0.21      0.00      0.00      0.00      0.00      0.00     99.44
12:40:01 AM       4      0.20      0.00      0.14      0.16      0.00      0.00      0.00      0.00      0.00     99.49
12:40:01 AM       5      0.23      0.00      0.14      0.35      0.00      0.00      0.00      0.00      0.00     99.28
12:50:02 AM     all      0.24      0.00      0.18      0.23      0.00      0.00      0.00      0.00      0.00     99.35
